source,target
The tired doctor is in the garden,le medecin fatigue est dans le jardin
The tall dog is in the garden,le chien grand est dans le jardin
The blue doctor is in the park,le medecin bleu est dans le parc
The small tree is in the garden,l arbre petit est dans le jardin
The flower is clear,la fleur est claire
He wants to travel in the house,il veut voyager dans la maison
The red flower is in the garden,la fleur rouge est dans le jardin
The big tree is in the house,l arbre grand est dans la maison
The clear doctor is in the park,le medecin clair est dans le parc
The sad park is in the park,le parc triste est dans le parc
The cold tree is in the park,l arbre froid est dans le parc
The cold car is in the city,la voiture froide est dans la ville
The tall garden is in the city,le jardin grand est dans la ville
The ready bread is in the house,le pain pret est dans la maison
We like to dance in the city,nous aimons danser dans la ville
The big sun is in the city,le soleil grand est dans la ville
The tired student is in the house,l etudiant fatigue est dans la maison
The red dog is in the park,le chien rouge est dans le parc
I want to swim in the city,je veux nager dans la ville
The blue bird is in the city,l oiseau bleu est dans la ville
The blue cat is in the garden,le chat bleu est dans le jardin
You want to work,tu veux travailler
The happy park is in the city,le parc heureux est dans la ville
The dog is sad,le chien est triste
The tall student is in the city,l etudiant grand est dans la ville
The clear teacher is in the park,le professeur clair est dans le parc
The red book is in the garden,le livre rouge est dans le jardin
The tall student is in the garden,l etudiant grand est dans le jardin
The sad doctor is in the park,le medecin triste est dans le parc
The cold bird is in the house,l oiseau froid est dans la maison
He wants to play in the garden,il veut jouer dans le jardin
The ready fish is in the garden,le poisson pret est dans le jardin
The big book is in the city,le livre grand est dans la ville
The big door is in the garden,la porte grande est dans le jardin
The cat is hot,le chat est chaud
The blue teacher is in the park,le professeur bleu est dans le parc
The angry tree is in the park,l arbre en colere est dans le parc
The sun is hot,le soleil est chaud
The blue teacher is in the house,le professeur bleu est dans la maison
The garden is tall,le jardin est grand
The clear house is in the garden,la maison claire est dans le jardin
You want to swim,tu veux nager
The happy bread is in the house,le pain heureux est dans la maison
The tired coffee is in the house,le cafe fatigue est dans la maison
The hot bird is in the park,l oiseau chaud est dans le parc
The tall cat is in the city,le chat grand est dans la ville
The sad fish is in the house,le poisson triste est dans la maison
The cold city is in the city,la ville froide est dans la ville
The good dog is in the city,le chien bon est dans la ville
The cold music is in the park,la musique froide est dans le parc
The happy teacher is in the city,le professeur heureux est dans la ville
The big window is in the house,la fenetre grande est dans la maison
The cold fish is in the park,le poisson froid est dans le parc
The ready sun is in the city,le soleil pret est dans la ville
The ready tree is in the garden,l arbre pret est dans le jardin
The red book is in the house,le livre rouge est dans la maison
The tired doctor is in the city,le medecin fatigue est dans la ville
The angry car is in the city,la voiture en colere est dans la ville
The angry fish is in the park,le poisson en colere est dans le parc
The blue house is in the park,la maison bleue est dans le parc
The clear book is in the city,le livre clair est dans la ville
The house is long,la maison est longue
He wants to cook in the garden,il veut cuisiner dans le jardin
The sad flower is in the city,la fleur triste est dans la ville
The cold garden is in the park,le jardin froid est dans le parc
The hot sky is in the house,le ciel chaud est dans la maison
I want to eat in the city,je veux manger dans la ville
The cold city is in the garden,la ville froide est dans le jardin
The hot book is in the garden,le livre chaud est dans le jardin
I like to eat,j aime manger
The clear teacher is in the garden,le professeur clair est dans le jardin
The blue tree is in the garden,l arbre bleu est dans le jardin
The tall nurse is in the garden,l infirmiere grande est dans le jardin
The ready garden is in the house,le jardin pret est dans la maison
The dog is not small,le chien n est pas petit
The clear city is in the city,la ville claire est dans la ville
The doctor is ready,le medecin est pret
The tall flower is in the house,la fleur grande est dans la maison
The bird is big,l oiseau est grand
The angry student is in the park,l etudiant en colere est dans le parc
The small sky is in the house,le ciel petit est dans la maison
The small bread is in the city,le pain petit est dans la ville
The hot park is in the garden,le parc chaud est dans le jardin
He wants to read,il veut lire
The blue bird is in the garden,l oiseau bleu est dans le jardin
The tall park is in the house,le parc grand est dans la maison
The happy park is in the garden,le parc heureux est dans le jardin
He wants to eat in the garden,il veut manger dans le jardin
The sad cat is in the house,le chat triste est dans la maison
The good house is in the house,la maison bonne est dans la maison
I want to sleep in the city,je veux dormir dans la ville
The red park is in the park,le parc rouge est dans le parc
The cold doctor is in the city,le medecin froid est dans la ville
I want to read in the park,je veux lire dans le parc
The angry park is in the city,le parc en colere est dans la ville
The cold sun is in the garden,le soleil froid est dans le jardin
The hot tree is in the garden,l arbre chaud est dans le jardin
The hot doctor is in the city,le medecin chaud est dans la ville
The sad park is in the garden,le parc triste est dans le jardin
The tall bird is in the city,l oiseau grand est dans la ville
The good bread is in the house,le pain bon est dans la maison
The tall book is in the house,le livre grand est dans la maison
The flower is long,la fleur est longue
The bird is small,l oiseau est petit
The teacher is big,le professeur est grand
The big city is in the city,la ville grande est dans la ville
The tired park is in the garden,le parc fatigue est dans le jardin
The fish is blue,le poisson est bleu
The tall dog is in the city,le chien grand est dans la ville
The big sun is in the park,le soleil grand est dans le parc
I want to cook in the city,je veux cuisiner dans la ville
She is not long,elle n est pas longue
The clear door is in the park,la porte claire est dans le parc
The hot fish is in the garden,le poisson chaud est dans le jardin
We want to dance,nous voulons danser
The angry cat is in the garden,le chat en colere est dans le jardin
The sad nurse is in the house,l infirmiere triste est dans la maison
The tall flower is in the garden,la fleur grande est dans le jardin
The dog is ready,le chien est pret
The good music is in the park,la musique bonne est dans le parc
The angry doctor is in the garden,le medecin en colere est dans le jardin
I want to sleep in the garden,je veux dormir dans le jardin
The blue coffee is in the garden,le cafe bleu est dans le jardin
He wants to swim,il veut nager
The ready sun is in the house,le soleil pret est dans la maison
The sun is small,le soleil est petit
The bird is red,l oiseau est rouge
The bird is tall,l oiseau est grand
The sad teacher is in the city,le professeur triste est dans la ville
The bird is ready,l oiseau est pret
The bread is big,le pain est grand
The big fish is in the city,le poisson grand est dans la ville
The good nurse is in the city,l infirmiere bonne est dans la ville
The cold house is in the house,la maison froide est dans la maison
The red window is in the park,la fenetre rouge est dans le parc
The angry door is in the garden,la porte en colere est dans le jardin
I am not small,je ne suis pas petit
We like to read in the city,nous aimons lire dans la ville
We want to sleep,nous voulons dormir
The angry music is in the park,la musique en colere est dans le parc
The cold tree is in the house,l arbre froid est dans la maison
The good coffee is in the house,le cafe bon est dans la maison
The book is blue,le livre est bleu
The red car is in the park,la voiture rouge est dans le parc
The long music is in the city,la musique longue est dans la ville
He wants to dance,il veut danser
The angry book is in the house,le livre en colere est dans la maison
The big teacher is in the park,le professeur grand est dans le parc
The cat is red,le chat est rouge
The window is cold,la fenetre est froide
The happy book is in the park,le livre heureux est dans le parc
The good cat is in the garden,le chat bon est dans le jardin
The ready book is in the park,le livre pret est dans le parc
He is not good,il n est pas bon
The clear door is in the garden,la porte claire est dans le jardin
The cold teacher is in the city,le professeur froid est dans la ville
The small tree is in the house,l arbre petit est dans la maison
The angry garden is in the park,le jardin en colere est dans le parc
The window is clear,la fenetre est claire
The small fish is in the park,le poisson petit est dans le parc
The clear flower is in the garden,la fleur claire est dans le jardin
The sad music is in the garden,la musique triste est dans le jardin
The big cat is in the house,le chat grand est dans la maison
The happy sky is in the garden,le ciel heureux est dans le jardin
The cold sky is in the park,le ciel froid est dans le parc
The cat is good,le chat est bon
The small coffee is in the city,le cafe petit est dans la ville
The fish is clear,le poisson est clair
The small book is in the park,le livre petit est dans le parc
The window is big,la fenetre est grande
He likes to sing,il aime chanter
The tall garden is in the garden,le jardin grand est dans le jardin
The long flower is in the house,la fleur longue est dans la maison
The tall bird is in the garden,l oiseau grand est dans le jardin
The car is tall,la voiture est grande
The park is big,le parc est grand
The tired bird is in the park,l oiseau fatigue est dans le parc
The blue tree is in the house,l arbre bleu est dans la maison
The fish is angry,le poisson est en colere
The big river is in the city,la riviere grande est dans la ville
The coffee is small,le cafe est petit
The house is clear,la maison est claire
The door is tall,la porte est grande
The blue flower is in the city,la fleur bleue est dans la ville
The big coffee is in the park,le cafe grand est dans le parc
The happy student is in the house,l etudiant heureux est dans la maison
The blue bread is in the house,le pain bleu est dans la maison
The tired park is in the city,le parc fatigue est dans la ville
The tired dog is in the garden,le chien fatigue est dans le jardin
The sad food is in the garden,la nourriture triste est dans le jardin
The good window is in the city,la fenetre bonne est dans la ville
The hot dog is in the garden,le chien chaud est dans le jardin
The tall sky is in the city,le ciel grand est dans la ville
The tall doctor is in the park,le medecin grand est dans le parc
The blue car is in the park,la voiture bleue est dans le parc
The cold river is in the park,la riviere froide est dans le parc
She is not clear,elle n est pas claire
The hot garden is in the city,le jardin chaud est dans la ville
The red bird is in the house,l oiseau rouge est dans la maison
The ready dog is in the garden,le chien pret est dans le jardin
The sad bird is in the park,l oiseau triste est dans le parc
The music is sad,la musique est triste
The hot bread is in the city,le pain chaud est dans la ville
The tall sun is in the house,le soleil grand est dans la maison
She is not big,elle n est pas grande
The small park is in the park,le parc petit est dans le parc
The big teacher is in the garden,le professeur grand est dans le jardin
The cold fish is in the garden,le poisson froid est dans le jardin
He wants to dance in the city,il veut danser dans la ville
The clear book is in the house,le livre clair est dans la maison
We like to eat,nous aimons manger
The clear nurse is in the garden,l infirmiere claire est dans le jardin
The nurse is blue,l infirmiere est bleue
The book is red,le livre est rouge
The happy sun is in the house,le soleil heureux est dans la maison
The cold bread is in the city,le pain froid est dans la ville
The car is long,la voiture est longue
The big food is in the park,la nourriture grande est dans le parc
The small cat is in the city,le chat petit est dans la ville
The small cat is in the park,le chat petit est dans le parc
The flower is angry,la fleur est en colere
The small doctor is in the house,le medecin petit est dans la maison
The hot bird is in the house,l oiseau chaud est dans la maison
The long car is in the park,la voiture longue est dans le parc
He likes to travel,il aime voyager
The angry bird is in the house,l oiseau en colere est dans la maison
The cold bread is in the park,le pain froid est dans le parc
The sad bread is in the house,le pain triste est dans la maison
The cold bird is in the park,l oiseau froid est dans le parc
The big sky is in the park,le ciel grand est dans le parc
The tall music is in the garden,la musique grande est dans le jardin
The fish is sad,le poisson est triste
The happy fish is in the garden,le poisson heureux est dans le jardin
The river is clear,la riviere est claire
The red door is in the park,la porte rouge est dans le parc
The fish is red,le poisson est rouge
The door is good,la porte est bonne
The student is hot,l etudiant est chaud
The good bird is in the garden,l oiseau bon est dans le jardin
The long city is in the house,la ville longue est dans la maison
The small book is in the garden,le livre petit est dans le jardin
The ready park is in the house,le parc pret est dans la maison
The clear bird is in the park,l oiseau clair est dans le parc
The good dog is in the garden,le chien bon est dans le jardin
The big food is in the house,la nourriture grande est dans la maison
The hot tree is in the city,l arbre chaud est dans la ville
The cold sky is in the city,le ciel froid est dans la ville
The happy bird is in the park,l oiseau heureux est dans le parc
The tree is hot,l arbre est chaud
The big sun is in the garden,le soleil grand est dans le jardin
The red teacher is in the garden,le professeur rouge est dans le jardin
The clear sun is in the garden,le soleil clair est dans le jardin
The happy sun is in the garden,le soleil heureux est dans le jardin
The fish is ready,le poisson est pret
The car is sad,la voiture est triste
The red doctor is in the house,le medecin rouge est dans la maison
The tired fish is in the house,le poisson fatigue est dans la maison
The happy dog is in the park,le chien heureux est dans le parc
The small teacher is in the garden,le professeur petit est dans le jardin
The cold coffee is in the park,le cafe froid est dans le parc
The house is sad,la maison est triste
The tall park is in the city,le parc grand est dans la ville
I want to swim,je veux nager
The blue bird is in the park,l oiseau bleu est dans le parc
The sad dog is in the city,le chien triste est dans la ville
I want to eat in the park,je veux manger dans le parc
The red house is in the park,la maison rouge est dans le parc
The ready bread is in the garden,le pain pret est dans le jardin
The long city is in the garden,la ville longue est dans le jardin
The red food is in the house,la nourriture rouge est dans la maison
The tired teacher is in the park,le professeur fatigue est dans le parc
The tired park is in the park,le parc fatigue est dans le parc
The clear flower is in the park,la fleur claire est dans le parc
The ready doctor is in the park,le medecin pret est dans le parc
The coffee is tall,le cafe est grand
The angry teacher is in the garden,le professeur en colere est dans le jardin
He wants to sing in the house,il veut chanter dans la maison
The angry bread is in the house,le pain en colere est dans la maison
She is not tall,elle n est pas grande
The good coffee is in the city,le cafe bon est dans la ville
The happy doctor is in the house,le medecin heureux est dans la maison
The good book is in the city,le livre bon est dans la ville
The angry bread is in the park,le pain en colere est dans le parc
The red tree is in the city,l arbre rouge est dans la ville
The ready book is in the house,le livre pret est dans la maison
The blue cat is in the city,le chat bleu est dans la ville
The big coffee is in the house,le cafe grand est dans la maison
The book is ready,le livre est pret
The small fish is in the city,le poisson petit est dans la ville
The sad teacher is in the garden,le professeur triste est dans le jardin
The good park is in the house,le parc bon est dans la maison
The tall flower is in the city,la fleur grande est dans la ville
The tired park is in the house,le parc fatigue est dans la maison
The small park is in the garden,le parc petit est dans le jardin
The red car is in the house,la voiture rouge est dans la maison
The tall bread is in the garden,le pain grand est dans le jardin
The blue door is in the house,la porte bleue est dans la maison
The sad dog is in the house,le chien triste est dans la maison
The red window is in the garden,la fenetre rouge est dans le jardin
The red teacher is in the city,le professeur rouge est dans la ville
The ready student is in the garden,l etudiant pret est dans le jardin
The teacher is good,le professeur est bon
The happy bread is in the garden,le pain heureux est dans le jardin
The good food is in the house,la nourriture bonne est dans la maison
The garden is red,le jardin est rouge
The red nurse is in the city,l infirmiere rouge est dans la ville
The happy student is in the garden,l etudiant heureux est dans le jardin
The sad music is in the city,la musique triste est dans la ville
The sad coffee is in the house,le cafe triste est dans la maison
The ready sun is in the garden,le soleil pret est dans le jardin
The angry fish is in the garden,le poisson en colere est dans le jardin
The cold flower is in the park,la fleur froide est dans le parc
The red food is in the garden,la nourriture rouge est dans le jardin
The doctor is good,le medecin est bon
The tree is ready,l arbre est pret
We like to dance in the house,nous aimons danser dans la maison
The sad city is in the house,la ville triste est dans la maison
We like to travel in the park,nous aimons voyager dans le parc
The angry food is in the house,la nourriture en colere est dans la maison
The river is sad,la riviere est triste
The good teacher is in the park,le professeur bon est dans le parc
The red tree is in the park,l arbre rouge est dans le parc
The tall window is in the city,la fenetre grande est dans la ville
The clear sun is in the park,le soleil clair est dans le parc
The blue car is in the garden,la voiture bleue est dans le jardin
The sad teacher is in the house,le professeur triste est dans la maison
She wants to sleep,elle veut dormir
The good river is in the garden,la riviere bonne est dans le jardin
The door is angry,la porte est en colere
The clear student is in the city,l etudiant clair est dans la ville
The big food is in the garden,la nourriture grande est dans le jardin
The hot park is in the park,le parc chaud est dans le parc
The bird is happy,l oiseau est heureux
The garden is big,le jardin est grand
The sky is ready,le ciel est pret
The door is long,la porte est longue
The doctor is angry,le medecin est en colere
We like to drink,nous aimons boire
You want to sing,tu veux chanter
The student is clear,l etudiant est clair
The angry student is in the garden,l etudiant en colere est dans le jardin
The big window is in the city,la fenetre grande est dans la ville
The red food is in the city,la nourriture rouge est dans la ville
The city is blue,la ville est bleue
The cold window is in the garden,la fenetre froide est dans le jardin
The tree is cold,l arbre est froid
The clear tree is in the garden,l arbre clair est dans le jardin
The cold book is in the city,le livre froid est dans la ville
The sad cat is in the city,le chat triste est dans la ville
The cat is cold,le chat est froid
The angry window is in the city,la fenetre en colere est dans la ville
The cold window is in the park,la fenetre froide est dans le parc
The long nurse is in the city,l infirmiere longue est dans la ville
The flower is sad,la fleur est triste
We like to work in the park,nous aimons travailler dans le parc
The happy bread is in the city,le pain heureux est dans la ville
The good bird is in the house,l oiseau bon est dans la maison
The good coffee is in the park,le cafe bon est dans le parc
The ready cat is in the house,le chat pret est dans la maison
The tall door is in the house,la porte grande est dans la maison
The sad house is in the garden,la maison triste est dans le jardin
The tall tree is in the park,l arbre grand est dans le parc
The angry river is in the garden,la riviere en colere est dans le jardin
The book is big,le livre est grand
He wants to sleep in the house,il veut dormir dans la maison
The angry window is in the park,la fenetre en colere est dans le parc
The angry flower is in the garden,la fleur en colere est dans le jardin
The tall coffee is in the city,le cafe grand est dans la ville
The dog is not red,le chien n est pas rouge
The tall tree is in the city,l arbre grand est dans la ville
The long window is in the garden,la fenetre longue est dans le jardin
The cold student is in the city,l etudiant froid est dans la ville
The nurse is tall,l infirmiere est grande
The happy fish is in the house,le poisson heureux est dans la maison
The red coffee is in the garden,le cafe rouge est dans le jardin
The red bird is in the city,l oiseau rouge est dans la ville
The sad student is in the park,l etudiant triste est dans le parc
He wants to travel in the garden,il veut voyager dans le jardin
We like to sleep in the house,nous aimons dormir dans la maison
The happy cat is in the house,le chat heureux est dans la maison
The red garden is in the city,le jardin rouge est dans la ville
I like to dance,j aime danser
I want to sing in the garden,je veux chanter dans le jardin
The happy garden is in the house,le jardin heureux est dans la maison
The good flower is in the house,la fleur bonne est dans la maison
He wants to work in the park,il veut travailler dans le parc
The blue fish is in the park,le poisson bleu est dans le parc
The cold student is in the house,l etudiant froid est dans la maison
We like to eat in the park,nous aimons manger dans le parc
The clear dog is in the house,le chien clair est dans la maison
The blue car is in the city,la voiture bleue est dans la ville
The cat is sad,le chat est triste
The hot student is in the city,l etudiant chaud est dans la ville
The small tree is in the city,l arbre petit est dans la ville
The red nurse is in the garden,l infirmiere rouge est dans le jardin
The house is not long,la maison n est pas longue
The good tree is in the city,l arbre bon est dans la ville
We like to swim in the park,nous aimons nager dans le parc
He wants to drink in the house,il veut boire dans la maison
The good music is in the house,la musique bonne est dans la maison
We like to play in the city,nous aimons jouer dans la ville
The happy fish is in the city,le poisson heureux est dans la ville
The sun is sad,le soleil est triste
The good park is in the city,le parc bon est dans la ville
The garden is cold,le jardin est froid
The blue cat is in the house,le chat bleu est dans la maison
The hot garden is in the garden,le jardin chaud est dans le jardin
The red house is in the city,la maison rouge est dans la ville
The red music is in the garden,la musique rouge est dans le jardin
The teacher is sad,le professeur est triste
The red bread is in the house,le pain rouge est dans la maison
I want to drink in the city,je veux boire dans la ville
The tree is small,l arbre est petit
The tall car is in the park,la voiture grande est dans le parc
The blue sky is in the park,le ciel bleu est dans le parc
The good doctor is in the garden,le medecin bon est dans le jardin
He wants to swim in the garden,il veut nager dans le jardin
I want to cook,je veux cuisiner
The hot park is in the city,le parc chaud est dans la ville
The park is tall,le parc est grand
He wants to dance in the park,il veut danser dans le parc
The long city is in the city,la ville longue est dans la ville
The red door is in the city,la porte rouge est dans la ville
The long river is in the park,la riviere longue est dans le parc
The tall sun is in the park,le soleil grand est dans le parc
The big student is in the garden,l etudiant grand est dans le jardin
The hot sun is in the garden,le soleil chaud est dans le jardin
The doctor is tired,le medecin est fatigue
The sad window is in the garden,la fenetre triste est dans le jardin
The happy teacher is in the house,le professeur heureux est dans la maison
We like to read in the house,nous aimons lire dans la maison
The angry house is in the garden,la maison en colere est dans le jardin
I want to drink in the park,je veux boire dans le parc
The blue sky is in the house,le ciel bleu est dans la maison
The clear dog is in the city,le chien clair est dans la ville
